Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Area_under_ROC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_area_under_ROC,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Summary
a,1,1,weka.classifiers.lazy.IBk,"'-K 2 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08018609877707E+018,20190310.1107,247,124,81,43,0,65.3225806451613,34.6774193548387,0,0.476176441693683,0.235142035005733,0.387475205900858,52.949659214366,82.2299911079459,196.385900040989,191.824658283389,4.56124175759959,1.58375725839507,1.5469730506725,0.036784207722577,106.552624214287,0.859295356566831,6727.54364141245,0.86046511627907,37,0.296296296296296,24,0.703703703703704,57,0.13953488372093,6,0.60655737704918,0.86046511627907,0.711538461538461,0.815963250071777,0.653225806451613,0.180799003752213,0.819200996247787,0.346774193548387,0.694131869584672,0.653225806451613,0.652017113710662,0.82395502114941,0.002,0.02,0.01,0.02,33208,31354,16963,?
a,1,2,weka.classifiers.lazy.IBk,"'-K 2 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08018609877707E+018,20190310.1107,247,124,77,47,0,62.0967741935484,37.9032258064516,0,0.42654727934665,0.256517600225005,0.432952080089873,57.7630431499407,91.8810936900726,196.385900040989,269.372444578098,-72.986544537109,1.58375725839507,2.17235842401692,-0.588601165621847,96.7828101315654,0.780506533319076,6110.69491436643,0.813953488372093,35,0.259259259259259,21,0.740740740740741,60,0.186046511627907,8,0.625,0.813953488372093,0.707070707070707,0.803474016652311,0.620967741935484,0.19730017192645,0.802699828073549,0.379032258064516,0.697284155597723,0.620967741935484,0.618252072531469,0.776415857743861,0.001,0.01,0,0.01,33208,31354,16963,?
a,1,3,weka.classifiers.lazy.IBk,"'-K 2 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08018609877707E+018,20190310.1107,248,123,77,46,0,62.6016260162602,37.3983739837398,0,0.435892323030907,0.250495571087975,0.431564807065415,56.4053517908129,91.5821253297932,194.820809253897,252.592609536988,-57.7718002830906,1.58390901832437,2.05359845152023,-0.469689433195859,98.7094375663626,0.802515752572054,6232.59009620964,0.883720930232558,38,0.3,24,0.7,56,0.116279069767442,5,0.612903225806452,0.883720930232558,0.723809523809524,0.813953488372093,0.626016260162602,0.192276422764228,0.807723577235772,0.373983739837398,0.614208529814583,0.626016260162602,0.605233437622738,0.779383020311039,0.001,0.007,0,0.01,33325,31471,16846,?
a,2,1,weka.classifiers.lazy.IBk,"'-K 2 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08018609877707E+018,20190310.1107,247,124,75,49,0,60.4838709677419,39.5161290322581,0,0.402791429133084,0.237813980658142,0.412397614798144,53.5513322063129,87.5190249114062,196.385900040989,241.521502028617,-45.1356019876277,1.58375725839507,1.94775404861788,-0.363996790222804,104.289182098646,0.841041791118112,6584.63392215332,0.86046511627907,37,0.358024691358025,29,0.641975308641975,52,0.13953488372093,6,0.560606060606061,0.86046511627907,0.678899082568807,0.805627332759116,0.604838709677419,0.205905007922101,0.794094992077899,0.395161290322581,0.642102955551722,0.604838709677419,0.597701341248949,0.799394372079922,0.001,0.006,0,0.01,33208,31354,16963,?
a,2,2,weka.classifiers.lazy.IBk,"'-K 2 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08018609877707E+018,20190310.1107,247,124,77,47,0,62.0967741935484,37.9032258064516,0,0.427336150142478,0.256517600225005,0.415740915728893,57.7630431499407,88.2285402600529,196.385900040989,234.586905049064,-38.2010050080749,1.58375725839507,1.89182987942794,-0.308072621032862,97.6565017590745,0.787552433540923,6165.85825357602,0.837209302325581,36,0.296296296296296,24,0.703703703703704,57,0.162790697674419,7,0.6,0.837209302325581,0.699029126213592,0.799741602067183,0.620967741935484,0.196891010972096,0.803108989027904,0.379032258064516,0.66045564943728,0.620967741935484,0.61869815420416,0.787818248201457,0.001,0.005,0,0,33208,31354,16963,?
a,2,3,weka.classifiers.lazy.IBk,"'-K 2 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08018609877707E+018,20190310.1107,248,123,76,47,0,61.7886178861789,38.2113821138211,0,0.424547083416285,0.237026899327109,0.420470950567629,53.372543004905,89.2279042729846,194.820809253897,254.570010812091,-59.7492015581933,1.58390901832437,2.06967488465114,-0.485765866326775,103.613305828701,0.842384600233344,6542.22412430772,0.697674418604651,30,0.2125,17,0.7875,63,0.302325581395349,13,0.638297872340426,0.697674418604651,0.666666666666667,0.774563953488372,0.617886178861789,0.195078397212544,0.804921602787456,0.382113821138211,0.649706737333693,0.617886178861789,0.624423092715776,0.794969748260201,0.001,0.005,0,0.01,33325,31471,16846,?
a,3,1,weka.classifiers.lazy.IBk,"'-K 2 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08018609877707E+018,20190310.1107,247,124,78,46,0,62.9032258064516,37.0967741935484,0,0.44078431372549,0.259189545877414,0.439061802613692,58.3647161418875,93.1776990499886,196.385900040989,284.283748794292,-87.8978487533026,1.58375725839507,2.29261087737332,-0.708853618978246,95.6975279874547,0.771754257963344,6042.17212535406,0.72093023255814,31,0.259259259259259,21,0.740740740740741,60,0.279069767441861,12,0.596153846153846,0.72093023255814,0.652631578947368,0.747918461096756,0.629032258064516,0.19230873396653,0.80769126603347,0.370967741935484,0.66043835197061,0.629032258064516,0.635834213855899,0.766430603479554,0.001,0.005,0,0,33208,31354,16963,?
a,3,2,weka.classifiers.lazy.IBk,"'-K 2 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08018609877707E+018,20190310.1107,247,124,71,53,0,57.258064516129,42.741935483871,0,0.354673998428908,0.251173708920187,0.431378416429323,56.559697166047,91.5471307762055,196.385900040989,267.378267768938,-70.9923677279487,1.58375725839507,2.1562763529753,-0.572519094580232,98.9384725098678,0.797890907337643,6246.79961223867,0.790697674418605,34,0.271604938271605,22,0.728395061728395,59,0.209302325581395,9,0.607142857142857,0.790697674418605,0.686868686868687,0.810938845822567,0.57258064516129,0.220082283576367,0.779917716423633,0.42741935483871,0.598096459991621,0.57258064516129,0.569681922645163,0.780772991948768,0,0.011,0,0,33208,31354,16963,?
a,3,3,weka.classifiers.lazy.IBk,"'-K 2 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08018609877707E+018,20190310.1107,248,123,77,46,0,62.6016260162602,37.3983739837398,0,0.435103833865815,0.250495571087975,0.433113094324846,56.4053517908129,91.9106864995604,194.820809253897,259.555511359562,-64.7347021056646,1.58390901832437,2.11020740942733,-0.526298391102964,98.4226447541263,0.800184103692084,6214.48177662767,0.837209302325581,36,0.2625,21,0.7375,59,0.162790697674419,7,0.631578947368421,0.837209302325581,0.72,0.804360465116279,0.626016260162602,0.192813588850174,0.807186411149826,0.373983739837398,0.668135138289182,0.626016260162602,0.624330032692805,0.781402202959312,0.001,0.005,0,0,33325,31471,16846,?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,average:,61.9059066934755,,,average,,average,,,,,,,,,,,,average,,,,,,,,,,average,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.424872539198145,,0.422683876390964,,,,,,,,,,,,0.811369509043927,,,,,,,,,,0.694057092631535,,,,,,,,,,,,,,,,,
,,,,,,,,,,,deviation:,2.16065953581586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,deviation,,deviation,,,,,,,,,,,,deviation,,,,,,,,,,deviation,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.032664546164247,,0.01595096555105,,,,,,,,,,,,0.064158702935065,,,,,,,,,,0.024509340582494,,,,,,,,,,,,,,,,,
